"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","4","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","4","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","5","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","3","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","4","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","3","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","2","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","2","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","6","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","4","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","3","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","2","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","2","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","3","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","3","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","4","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","2","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","2","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","2","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","-","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","1","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","3","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","3","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","2","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","1","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","1","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","2","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","2","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","2","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","1","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","1","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","2","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","-","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","1","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","2","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","3","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","1","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","2","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","-","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","1","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","1","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","2","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","4","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","5","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","5","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","2","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","2","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","3","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","7","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","3","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","4","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","4","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","4","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","7","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","26","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","19","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","21","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","24","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","30","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","15","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","19","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","27","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","23","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","28","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","27","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","27","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","22","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","19","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","20","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","21","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","29","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","20","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","19","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","16","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","19","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","21","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","28","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","19","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","19","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","19","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","14","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","15","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","14","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","15","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","14","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","14","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","15","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","16","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","12","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","12","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","14","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","14","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","13","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","10","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","12","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","11","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","8","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","9","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","10","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","11","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","9","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","10","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","10","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","10","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","10","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","11","%","2732"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","9","%","71324"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","11","%","420"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","9","%","2622"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","13","%","221"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","12","%","1457"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","18","%","236"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","7","%","1127"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","10","%","531"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","15","%","597"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","9","%","618"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","9","%","66117"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","9","%","63385"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","9","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","7","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","7","%","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","7","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","5","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","6","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","9","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","7","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","6","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","7","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","7","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","7","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","4","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","6","%","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","6","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","3","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","4","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","6","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","7","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","4","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","3","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","4","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","5","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","4","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","3","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","4","%","396"
